best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.5581788793206215,0.22187268167734153,meanabs_nocorr,736896387,500,2.33630619764328,2.5581788793206215
1000,2.444205105304718,0.17976114273071309,meanabs_nocorr,736896387,1000,2.264443962574005,2.444205105304718
1500,2.2379146106541157,0.18438204005360603,meanabs_nocorr,736896387,1500,2.0535325706005096,2.2379146106541157
2000,1.8597608245909214,0.2893832398951053,meanabs_nocorr,736896387,2000,1.5703775846958161,1.8597608245909214
2500,1.8102624863386154,0.5297137731313706,meanabs_nocorr,736896387,2500,1.2805487132072448,1.8102624863386154
3000,1.7789175771176815,0.6605721627175809,meanabs_nocorr,736896387,3000,1.1183454144001006,1.7789175771176815
3000,1.7789175771176815,0.854430645853281,meanabs_nocorr,736896387,3500,0.9597829765081406,1.8142136223614216
3000,1.7789175771176815,1.1297091346979142,meanabs_nocorr,736896387,4000,0.8116603392362595,1.9413694739341736
3000,1.7789175771176815,1.4712740153074264,meanabs_nocorr,736896387,4500,0.6239740952849389,2.0952481105923653
3000,1.7789175771176815,1.8889177183806896,meanabs_nocorr,736896387,5000,0.42573389381170273,2.3146516121923923
