best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.5085978135466576,0.18081951469182966,rms,281919623,500,2.327778298854828,2.5085978135466576
1000,1.9391003139317036,0.14712529495358462,rms,281919623,1000,1.791975018978119,1.9391003139317036
1500,1.7257893048226833,0.40794389113783835,rms,281919623,1500,1.317845413684845,1.7257893048226833
2000,1.7151078693568707,0.6572959493100643,rms,281919623,2000,1.0578119200468064,1.7151078693568707
2000,1.7151078693568707,0.9442569701373578,rms,281919623,2500,0.8277015262842178,1.7719584964215755
2000,1.7151078693568707,1.5975060430169106,rms,281919623,3000,0.5518037635087967,2.1493098065257072
2000,1.7151078693568707,2.222271164059639,rms,281919623,3500,0.31470681250095367,2.5369779765605927
2000,1.7151078693568707,2.5117170675843954,rms,281919623,4000,0.1911014825850725,2.702818550169468
2000,1.7151078693568707,2.8185964303463695,rms,281919623,4500,0.1291275692731142,2.947723999619484
2000,1.7151078693568707,3.1778096540272234,rms,281919623,5000,0.1075251565873623,3.285334810614586
