Norm ablation report

timestamp: 2026-04-23T21:04:49
data: Anne_of_Green_Gables.txt
device_available: cuda
norms: rms,meanabs,meanabs_nocorr
seeds: 598422775,1786548453,1426323417,736896387,1722602715,1639699922,1048955721,370076197,188292180,482242919,676750256,405379411,130604721,1310941852,1162914961,1109572572,1431649702,1497939373,741210827,129344154,273318888,1718616343,1970508508,336498026,1301334618,1258359901,2022903755,281919623,922641176,1225032379
steps: 5000
warmup_steps: 50
eval_batches: 32
eval_every: 500
train_window: 100
batch_size: 4
seq_len: 1024
d_model: 704
n_heads: 22
n_layers: 15
ffn_hidden: 2816
lr: 0.0003
eps: 1e-05
grad_clip: 1.0
compile: False
compile_backend: none
dynamo_explain: False
profile_one_step: False

Summary table

norm               n             train               val          best_val      best_step              grad     tr_step/s      tr_ms/st      tr_seq/s      tr_tok/s     tr_us/tok     ev_step/s      ev_ms/st      ev_seq/s      ev_tok/s     ev_us/tok          alloc_mb       reserved_mb   overfit_step
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs           30     0.1121±0.0133     3.0839±0.0970     1.6553±0.0357   1950.0±236.3     0.5759±0.0536     3.88±0.04   258.05±2.74      15.5±0.2 15874.8±165.9  63.000±0.669    11.07±0.11    90.34±0.90      44.3±0.4 45342.9±442.9  22.056±0.221       10300.4±0.0       10436.0±0.0   2966.7±221.1
meanabs_nocorr    30     0.3885±0.1023     2.3539±0.1835     1.6554±0.0458   2983.3±353.2     0.8360±0.0715     3.81±0.05   262.58±3.31      15.2±0.2 15601.4±195.0  64.107±0.808    10.89±0.16    91.82±1.38      43.6±0.6 44620.1±663.2  22.416±0.338       10300.4±0.0       10436.0±0.0   4033.3±339.9
rms               30     0.1059±0.0128     3.1545±0.0832     1.6581±0.0348   1950.0±236.3     0.5458±0.0441     3.83±0.05   260.97±3.45      15.3±0.2 15697.9±206.5  63.714±0.843    10.92±0.18    91.61±1.53      43.7±0.7 44722.4±736.9  22.366±0.374       10299.9±0.0       10788.0±0.0   2950.0±236.3

Per-run rows

norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs            129344154     0.0903     3.2248     1.6771       2000     0.5094     256.66      15958.7      62.662      90.08      45471.1      21.992    10300.4    10436.0       3000
meanabs            130604721     0.1047     2.9332     1.6269       2000     0.5391     256.69      15956.9      62.669      89.84      45592.5      21.933    10300.4    10436.0       3000
meanabs            188292180     0.1051     3.0581     1.6622       2000     0.5461     256.26      15983.7      62.564      89.85      45585.3      21.937    10300.4    10436.0       3000
meanabs            273318888     0.1236     3.0208     1.6379       2000     0.5826     256.58      15963.8      62.642      89.82      45600.0      21.930    10300.4    10436.0       3000
meanabs            281919623     0.1172     3.1631     1.7179       1500     0.6152     260.28      15736.9      63.545      90.91      45057.9      22.194    10300.4    10436.0       3000
meanabs            336498026     0.1184     3.0957     1.7079       2000     0.6351     264.47      15487.4      64.569      91.11      44954.2      22.245    10300.4    10436.0       3000
meanabs            370076197     0.1252     2.9617     1.6626       2000     0.6104     256.28      15982.3      62.569      89.91      45554.2      21.952    10300.4    10436.0       3000
meanabs            405379411     0.1136     3.0250     1.6735       2000     0.5834     256.67      15958.1      62.664      89.94      45541.6      21.958    10300.4    10436.0       3000
meanabs            482242919     0.0928     3.0931     1.6173       2000     0.4947     256.53      15967.0      62.629      90.05      45485.3      21.985    10300.4    10436.0       3000
meanabs            598422775     0.1258     3.0388     1.6140       2000     0.6384     256.66      15958.9      62.661      89.76      45630.7      21.915    10300.4    10436.0       3000
meanabs            676750256     0.1137     3.1070     1.6586       2000     0.5907     256.68      15957.5      62.666      90.01      45507.4      21.974    10300.4    10436.0       3000
meanabs            736896387     0.1045     3.1865     1.6808       2000     0.6195     256.29      15981.7      62.572      89.75      45639.0      21.911    10300.4    10436.0       3000
meanabs            741210827     0.1262     3.0881     1.6615       2000     0.6261     256.69      15956.7      62.670      89.97      45524.1      21.966    10300.4    10436.0       3000
meanabs            922641176     0.0997     2.9601     1.6151       1500     0.4969     260.71      15711.0      63.650      90.79      45115.9      22.165    10300.4    10436.0       2500
meanabs           1048955721     0.1087     3.1558     1.6383       2000     0.5508     256.25      15984.7      62.560      89.77      45627.4      21.917    10300.4    10436.0       3000
meanabs           1109572572     0.1219     3.1902     1.6613       1500     0.6168     256.70      15956.4      62.671      89.94      45539.8      21.959    10300.4    10436.0       2500
meanabs           1162914961     0.1063     3.0068     1.6515       2000     0.5514     256.76      15952.4      62.687      89.92      45553.9      21.952    10300.4    10436.0       3000
meanabs           1225032379     0.1448     3.1316     1.6573       1500     0.6993     260.10      15747.8      63.501      90.73      45147.1      22.150    10300.4    10436.0       2500
meanabs           1258359901     0.1337     3.0223     1.6413       2000     0.6478     262.52      15602.7      64.092      93.87      43635.3      22.917    10300.4    10436.0       3000
meanabs           1301334618     0.0954     3.1428     1.7004       2500     0.5003     261.14      15685.1      63.755      90.99      45017.6      22.214    10300.4    10436.0       3500
meanabs           1310941852     0.1122     3.0313     1.6507       2000     0.5608     256.69      15956.8      62.669      89.88      45571.2      21.944    10300.4    10436.0       3000
meanabs           1426323417     0.0873     3.0510     1.6618       2000     0.4837     256.26      15983.5      62.565      89.88      45570.3      21.944    10300.4    10436.0       3000
meanabs           1431649702     0.1248     3.1926     1.6981       2000     0.6264     256.70      15956.2      62.672      89.90      45561.6      21.948    10300.4    10436.0       3000
meanabs           1497939373     0.1213     3.0523     1.7264       2000     0.6312     256.71      15955.5      62.674      89.92      45552.8      21.953    10300.4    10436.0       3000
meanabs           1639699922     0.1255     3.1315     1.6840       2000     0.6050     256.29      15982.2      62.570      89.91      45557.7      21.950    10300.4    10436.0       3000
meanabs           1718616343     0.1106     3.1510     1.6003       2500     0.5720     256.40      15974.9      62.598      90.70      45160.3      22.143    10300.4    10436.0       3500
meanabs           1722602715     0.0983     3.3654     1.6526       2000     0.5094     256.23      15985.8      62.556      89.77      45628.2      21.916    10300.4    10436.0       3000
meanabs           1786548453     0.1075     2.9718     1.6351       2000     0.5477     256.26      15983.5      62.565      89.73      45646.9      21.907    10300.4    10436.0       3000
