best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4284887351095676,0.03277443543076508,meanabs,1426323417,500,2.3957142996788026,2.4284887351095676
1000,2.3280270025134087,0.06349978536367429,meanabs,1426323417,1000,2.2645272171497344,2.3280270025134087
1500,2.0099208280444145,0.08035062521696101,meanabs,1426323417,1500,1.9295702028274535,2.0099208280444145
2000,1.5034391097724438,0.038094794005155475,meanabs,1426323417,2000,1.4653443157672883,1.5034391097724438
2500,1.2048245947808027,0.12016661517322058,meanabs,1426323417,2500,1.0846579796075821,1.2048245947808027
3000,0.9995666667819023,0.15466777712106705,meanabs,1426323417,3000,0.8448988896608353,0.9995666667819023
3500,0.9002582468092442,0.16158548340201373,meanabs,1426323417,3500,0.7386727634072304,0.9002582468092442
4000,0.8254954777657986,0.13424959495663646,meanabs,1426323417,4000,0.6912458828091621,0.8254954777657986
4500,0.7916451096534729,0.15350665688514709,meanabs,1426323417,4500,0.6381384527683258,0.7916451096534729
5000,0.7803863827139139,0.16761771686375138,meanabs,1426323417,5000,0.6127686658501625,0.7803863827139139
