best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4804484769701958,0.019307393729686595,meanabs_nocorr,1162914961,500,2.461141083240509,2.4804484769701958
1000,2.3999874852597713,0.09939224824309356,meanabs_nocorr,1162914961,1000,2.300595237016678,2.3999874852597713
1500,2.2539277635514736,0.037385667413472934,meanabs_nocorr,1162914961,1500,2.2165420961380007,2.2539277635514736
2000,2.061485815793276,0.08238337233662607,meanabs_nocorr,1162914961,2000,1.9791024434566498,2.061485815793276
2500,1.7415962144732475,0.05531830519437797,meanabs_nocorr,1162914961,2500,1.6862779092788696,1.7415962144732475
3000,1.4929117187857628,0.12689106792211535,meanabs_nocorr,1162914961,3000,1.3660206508636474,1.4929117187857628
3500,1.1537400614470243,0.0653042220324278,meanabs_nocorr,1162914961,3500,1.0884358394145965,1.1537400614470243
4000,0.9990329779684544,0.0778033305704594,meanabs_nocorr,1162914961,4000,0.921229647397995,0.9990329779684544
4500,0.9327260740101337,0.10373276904225348,meanabs_nocorr,1162914961,4500,0.8289933049678803,0.9327260740101337
5000,0.8966868910938501,0.16271594144403934,meanabs_nocorr,1162914961,5000,0.7339709496498108,0.8966868910938501
