best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4395926147699356,-0.021240704655647313,rms,482242919,500,2.460833319425583,2.4395926147699356
1000,2.20259590446949,-0.02236454069614391,rms,482242919,1000,2.224960445165634,2.20259590446949
1500,1.8832497149705887,0.03560520231723796,rms,482242919,1500,1.8476445126533507,1.8832497149705887
2000,1.442215234041214,0.08997170746326444,rms,482242919,2000,1.3522435265779496,1.442215234041214
2500,1.0701571963727474,0.07043971940875049,rms,482242919,2500,0.9997174769639969,1.0701571963727474
3000,0.9546501822769642,0.15176950499415398,rms,482242919,3000,0.8028806772828102,0.9546501822769642
3500,0.8748307973146439,0.18420137256383895,rms,482242919,3500,0.6906294247508049,0.8748307973146439
4000,0.799765832722187,0.14765837728977205,rms,482242919,4000,0.652107455432415,0.799765832722187
4500,0.7474089292809367,0.14568545591086146,rms,482242919,4500,0.6017234733700753,0.7474089292809367
4500,0.7474089292809367,0.17189471337944273,rms,482242919,5000,0.5898864659667015,0.7617811793461442
