alpha,best_step,best_val_loss,curve_path,device,eval_elapsed_s,eval_ms_step,eval_seq_s,eval_steps_s,eval_tok_s,eval_us_tok,grad_norm,norm,overfit_step,overfit_val_loss,params,peak_alloc_mb,peak_reserved_mb,seed,train_bytes,train_elapsed_s,train_loss,train_ms_step,train_seq_s,train_steps_s,train_tok_s,train_us_tok,val_bytes,val_loss
,5000,0.723628768697381,MLsystemsCodeLlamaHeavy\curve_rms_seed598422775.csv,cuda,2.971791199990548,92.86847499970463,43.07166667712291,10.767916669280728,44105.38667737386,22.672967529224763,0.44372251629829407,rms,,,90314048,10299.86572265625,10788.0,598422775,12311487,1325.4788412000053,0.6581843495368958,265.095768240001,15.088886656156093,3.7722216640390234,15451.01993590384,64.720646542969,1367943,0.7547774985432625
,5000,0.737907039001584,MLsystemsCodeLlamaHeavy\curve_rms_seed1786548453.csv,cuda,3.0885786000289954,96.5180812509061,41.44301200519823,10.360753001299557,42437.644293322985,23.563984680397,0.38280436396598816,rms,,,90314048,10299.86572265625,10788.0,1786548453,12311487,1339.5542483999743,0.6026458144187927,267.91084967999484,14.930339718521237,3.7325849296303093,15288.667871765747,65.407922285155,1367943,0.7198220733553171
,5000,0.768381780013442,MLsystemsCodeLlamaHeavy\curve_rms_seed1426323417.csv,cuda,2.941729900019709,91.9290593756159,43.511812555987014,10.877953138996753,44556.0960573307,22.443618011624977,0.38982200622558594,rms,,,90314048,10299.86572265625,10788.0,1426323417,12311487,1309.9195381000172,0.37607693672180176,261.98390762000344,15.268113359855027,3.817028339963757,15634.548080491548,63.960914946289904,1367943,0.7540625929832458
,5000,0.734207371249795,MLsystemsCodeLlamaHeavy\curve_rms_seed736896387.csv,cuda,2.9309707000502385,91.59283437656995,43.67153857860333,10.917884644650833,44719.65550448981,22.361531830217274,0.3823482394218445,rms,,,90314048,10299.86572265625,10788.0,736896387,12311487,1312.5767369999667,0.46037179231643677,262.51534739999335,15.237204375351128,3.809301093837782,15602.897280359555,64.0906609863265,1367943,0.7008470557630062
,4500,0.7716565933078527,MLsystemsCodeLlamaHeavy\curve_rms_seed1722602715.csv,cuda,3.0058873999514617,93.93398124848318,42.58309875548462,10.645774688871155,43605.09312561625,22.933100890742963,0.3020273447036743,rms,,,90314048,10299.86572265625,10788.0,1722602715,12311487,1312.6078015000094,0.30885422229766846,262.5215603000019,15.236843767913456,3.809210941978364,15602.528018343379,64.09217780761765,1367943,0.7799219563603401
,4500,0.7592796683311462,MLsystemsCodeLlamaHeavy\curve_rms_seed1639699922.csv,cuda,2.904198400035966,90.75620000112394,44.07412386096446,11.018530965241116,45131.90283362761,22.1572753908994,0.44684213399887085,rms,,,90314048,10299.86572265625,10788.0,1639699922,12311487,1313.5239562999923,0.6178730726242065,262.70479125999844,15.226216396035225,3.8065540990088063,15591.64558954007,64.13691192871056,1367943,0.7600059509277344
,4500,0.7625885419547558,MLsystemsCodeLlamaHeavy\curve_rms_seed1048955721.csv,cuda,3.015637200034689,94.23866250108404,42.44542413740207,10.611356034350518,43464.11431669972,23.00748596217872,0.4433652460575104,rms,,,90314048,10299.86572265625,10788.0,1048955721,12311487,1312.1773318000487,0.7213773131370544,262.43546636000974,15.241842329774087,3.810460582443522,15607.646545688665,64.07115877929925,1367943,0.7618195191025734
,5000,0.745456526055932,MLsystemsCodeLlamaHeavy\curve_rms_seed370076197.csv,cuda,2.9576491999905556,92.42653749970486,43.27761385644001,10.819403464110003,44316.27658899457,22.565072631763883,0.3988449275493622,rms,,,90314048,10299.86572265625,10788.0,370076197,12311487,1349.6321956000174,0.5246574878692627,269.92643912000347,14.818852177061789,3.7047130442654472,15174.504629311272,65.9000095507821,1367943,0.7610559426248074
,5000,0.7560483925044537,MLsystemsCodeLlamaHeavy\curve_rms_seed188292180.csv,cuda,3.051474700041581,95.3585843762994,41.946931429009,10.48673285725225,42953.657783305214,23.280904388744972,0.44366613030433655,rms,,,90314048,10299.86572265625,10788.0,188292180,12311487,1328.1267323999782,0.5038878321647644,265.62534647999564,15.058803886779087,3.7647009716947717,15420.215180061785,64.84993810546769,1367943,0.7562174815684557
,4500,0.7474089292809367,MLsystemsCodeLlamaHeavy\curve_rms_seed482242919.csv,cuda,2.9834885000018403,93.23401562505751,42.90279650815515,10.725699127038787,43932.46362435087,22.762210845961306,0.4737609624862671,rms,,,90314048,10299.86572265625,10788.0,482242919,12311487,1341.076410400041,0.7361770868301392,268.2152820800082,14.913393334563265,3.7283483336408163,15271.314774592784,65.4822466015645,1367943,0.7421708237379789
