best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4545097425580025,0.14587435513734803,meanabs_nocorr,405379411,500,2.3086353874206544,2.4545097425580025
1000,2.4428424388170242,0.1739561754465102,meanabs_nocorr,405379411,1000,2.268886263370514,2.4428424388170242
1500,2.3176898807287216,0.1492221945524217,meanabs_nocorr,405379411,1500,2.1684676861763,2.3176898807287216
2000,2.2784286439418793,0.23853884696960437,meanabs_nocorr,405379411,2000,2.039889796972275,2.2784286439418793
2500,1.854153361171484,0.18180759295821192,meanabs_nocorr,405379411,2500,1.672345768213272,1.854153361171484
3000,1.7018635123968124,0.323636036515236,meanabs_nocorr,405379411,3000,1.3782274758815765,1.7018635123968124
3500,1.6668890677392483,0.47735196813941005,meanabs_nocorr,405379411,3500,1.1895370995998382,1.6668890677392483
4000,1.6189116723835468,0.5568135870993138,meanabs_nocorr,405379411,4000,1.062098085284233,1.6189116723835468
4000,1.6189116723835468,0.8347172957658767,meanabs_nocorr,405379411,4500,0.9160285073518754,1.750745803117752
4000,1.6189116723835468,1.2634138134121895,meanabs_nocorr,405379411,5000,0.7434629011154175,2.006876714527607
