best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4246293753385544,0.12499988257884986,rms,370076197,500,2.2996294927597045,2.4246293753385544
1000,2.339161828160286,0.148642368912697,rms,370076197,1000,2.190519459247589,2.339161828160286
1500,1.7756968475878239,0.30314466848969457,rms,370076197,1500,1.4725521790981293,1.7756968475878239
2000,1.58136335760355,0.4215448787808418,rms,370076197,2000,1.1598184788227082,1.58136335760355
2000,1.58136335760355,0.7826633051037788,rms,370076197,2500,0.895970094203949,1.6786333993077278
2000,1.58136335760355,1.3208028253912927,rms,370076197,3000,0.6330563175678253,1.953859142959118
2000,1.58136335760355,1.9353189618885518,rms,370076197,3500,0.35672198593616483,2.2920409478247166
2000,1.58136335760355,2.357963422834873,rms,370076197,4000,0.19091696798801422,2.5488803908228874
2000,1.58136335760355,2.780451084971428,rms,370076197,4500,0.13224027723073958,2.9126913622021675
2000,1.58136335760355,2.9314038382470606,rms,370076197,5000,0.10350041821599007,3.034904256463051
