Norm ablation report

timestamp: 2026-04-27T17:41:28
data: The_Adventures_of_Sherlock_Holmes.txt
device_available: cuda
norms: rms,meanabs,meanabs_nocorr
seeds: 598422775,1786548453,1426323417,736896387,1722602715,1639699922,1048955721,370076197,188292180,482242919,676750256,405379411,130604721,1310941852,1162914961,1109572572,1431649702,1497939373,741210827,129344154,273318888,1718616343,1970508508,336498026,1301334618,1258359901,2022903755,281919623,922641176,1225032379
steps: 5000
warmup_steps: 50
eval_batches: 32
eval_every: 500
train_window: 100
batch_size: 4
seq_len: 1024
d_model: 704
n_heads: 22
n_layers: 15
ffn_hidden: 2816
lr: 0.0003
eps: 1e-05
grad_clip: 1.0
compile: False
compile_backend: none
dynamo_explain: False
profile_one_step: False

Summary table

norm               n             train               val          best_val      best_step              grad     tr_step/s      tr_ms/st      tr_seq/s      tr_tok/s     tr_us/tok     ev_step/s      ev_ms/st      ev_seq/s      ev_tok/s     ev_us/tok          alloc_mb       reserved_mb   overfit_step
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs           30     0.1091±0.0188     3.0604±0.0677     1.6270±0.0398   1966.7±221.1     0.5742±0.0734     3.90±0.03   256.55±1.73      15.6±0.1 15966.3±104.6  62.635±0.422    11.14±0.06    89.78±0.46      44.6±0.2 45625.4±228.1  21.918±0.112       10300.4±0.0       10436.0±0.0   2983.3±203.4
meanabs_nocorr    30     0.6131±0.1600     1.9900±0.1745     1.6078±0.0293   3500.0±365.1     0.7911±0.0794     3.85±0.06   259.92±3.82      15.4±0.2 15762.3±230.3  63.456±0.933    10.98±0.17    91.06±1.40      43.9±0.7 44990.7±685.6  22.232±0.341       10300.4±0.0       10436.0±0.0   4500.0±321.6
rms               30     0.0984±0.0170     3.1198±0.0744     1.6259±0.0397   1966.7±179.5     0.5297±0.0721     3.84±0.05   260.72±3.66      15.3±0.2 15713.1±219.9  63.653±0.894    10.94±0.20    91.45±1.70      43.8±0.8 44802.7±831.3  22.328±0.416       10299.9±0.0       10788.0±0.0   2983.3±157.2

Per-run rows

norm                    seed      train        val   best_val  best_step       grad   tr_ms/st     tr_tok/s   tr_us/tok   ev_ms/st     ev_tok/s   ev_us/tok   alloc_mb   reserved    overfit
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
meanabs            129344154     0.1264     3.0507     1.6996       2000     0.6487     256.12      15992.5      62.529      89.65      45687.4      21.888    10300.4    10436.0       3000
meanabs            130604721     0.0995     3.0930     1.6932       2000     0.5210     256.12      15992.8      62.528      89.65      45688.5      21.887    10300.4    10436.0       3000
meanabs            188292180     0.1190     3.1812     1.5871       2000     0.6516     256.14      15991.4      62.534      89.73      45647.0      21.907    10300.4    10436.0       3000
meanabs            273318888     0.1138     2.9120     1.6715       2000     0.5434     256.12      15992.3      62.530      89.72      45655.0      21.903    10300.4    10436.0       3000
meanabs            281919623     0.1191     3.1346     1.5962       2000     0.6544     256.07      15995.5      62.518      89.60      45712.4      21.876    10300.4    10436.0       3000
meanabs            336498026     0.0940     3.0464     1.6601       2500     0.5417     256.11      15993.1      62.527      89.63      45698.7      21.882    10300.4    10436.0       3500
meanabs            370076197     0.0992     3.0289     1.5942       2000     0.4911     256.13      15992.0      62.531      89.64      45695.4      21.884    10300.4    10436.0       3000
meanabs            405379411     0.1010     3.0760     1.6525       1500     0.5699     256.12      15992.6      62.529      89.76      45633.4      21.914    10300.4    10436.0       2500
meanabs            482242919     0.1217     3.0729     1.6296       2000     0.6279     256.12      15992.8      62.528      89.63      45701.5      21.881    10300.4    10436.0       3000
meanabs            598422775     0.0916     3.0393     1.6342       2500     0.5113     265.19      15445.6      64.743      92.24      44406.6      22.519    10300.4    10436.0       3500
meanabs            676750256     0.1188     3.1181     1.6455       1500     0.6205     256.13      15992.1      62.531      89.70      45662.4      21.900    10300.4    10436.0       2500
meanabs            736896387     0.1019     2.9932     1.6006       2000     0.5650     256.33      15979.5      62.580      89.70      45663.2      21.899    10300.4    10436.0       3000
meanabs            741210827     0.1210     3.1601     1.5947       2000     0.6097     256.10      15993.5      62.525      89.72      45653.0      21.904    10300.4    10436.0       3000
meanabs            922641176     0.1279     2.9788     1.6907       1500     0.6555     256.10      15993.6      62.525      89.72      45655.1      21.903    10300.4    10436.0       2500
meanabs           1048955721     0.1026     2.9599     1.6095       2000     0.5103     256.11      15993.4      62.526      89.71      45655.9      21.903    10300.4    10436.0       3000
meanabs           1109572572     0.1084     3.0767     1.6416       2000     0.5863     256.13      15991.6      62.533      89.77      45626.2      21.917    10300.4    10436.0       3000
meanabs           1162914961     0.0566     3.0838     1.6510       2000     0.3652     256.12      15992.6      62.529      89.62      45705.4      21.879    10300.4    10436.0       3000
meanabs           1225032379     0.1357     2.9770     1.5935       2000     0.6428     256.15      15990.6      62.537      89.71      45656.6      21.903    10300.4    10436.0       3000
meanabs           1258359901     0.1260     3.0891     1.5972       2000     0.6556     256.07      15995.4      62.518      89.74      45641.3      21.910    10300.4    10436.0       3000
meanabs           1301334618     0.0834     3.1137     1.6918       1500     0.5316     256.09      15994.6      62.521      89.75      45640.3      21.910    10300.4    10436.0       3000
meanabs           1310941852     0.1567     3.0125     1.6081       2000     0.7032     256.15      15990.4      62.537      89.77      45630.2      21.915    10300.4    10436.0       3000
meanabs           1426323417     0.1087     3.0551     1.6515       2000     0.5617     256.33      15979.3      62.581      89.71      45656.6      21.903    10300.4    10436.0       3000
meanabs           1431649702     0.1062     3.0311     1.5814       2000     0.5477     256.12      15992.3      62.530      89.61      45708.8      21.878    10300.4    10436.0       3000
meanabs           1497939373     0.1162     3.0709     1.5855       2000     0.5989     256.09      15994.5      62.522      89.72      45652.5      21.905    10300.4    10436.0       3000
meanabs           1639699922     0.0947     3.0099     1.6437       2000     0.5217     256.14      15991.2      62.534      89.62      45704.1      21.880    10300.4    10436.0       3000
