best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.430753029882908,0.06426418930292144,meanabs,1310941852,500,2.3664888405799864,2.430753029882908
1000,2.4241292774677277,0.0677567255496978,meanabs,1310941852,1000,2.35637255191803,2.4241292774677277
1500,2.38310856372118,0.07788890630006806,meanabs,1310941852,1500,2.305219657421112,2.38310856372118
2000,1.8087915405631065,0.10795670717954642,meanabs,1310941852,2000,1.7008348333835601,1.8087915405631065
2500,1.553330972790718,0.20970843374729164,meanabs,1310941852,2500,1.3436225390434264,1.553330972790718
3000,1.5298745445907116,0.329191937893629,meanabs,1310941852,3000,1.2006826066970826,1.5298745445907116
3500,1.369841504842043,0.2663113625347615,meanabs,1310941852,3500,1.1035301423072814,1.369841504842043
3500,1.369841504842043,0.3942023620009423,meanabs,1310941852,4000,1.0170887678861618,1.411291129887104
3500,1.369841504842043,0.5641618824005127,meanabs,1310941852,4500,0.942261233329773,1.5064231157302856
3500,1.369841504842043,0.6671236528456211,meanabs,1310941852,5000,0.8677338325977325,1.5348574854433537
