best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.5045082196593285,0.13443092912435528,meanabs_nocorr,1258359901,500,2.370077290534973,2.5045082196593285
500,2.5045082196593285,0.16292629271745662,meanabs_nocorr,1258359901,1000,2.3619597864151003,2.524886079132557
1500,2.4465258717536926,0.09140377998352056,meanabs_nocorr,1258359901,1500,2.355122091770172,2.4465258717536926
1500,2.4465258717536926,0.14914372235536577,meanabs_nocorr,1258359901,2000,2.3231352972984314,2.472279019653797
2500,2.355682633817196,0.07206912130117438,meanabs_nocorr,1258359901,2500,2.2836135125160215,2.355682633817196
3000,2.345884896814823,0.10929917484521878,meanabs_nocorr,1258359901,3000,2.2365857219696044,2.345884896814823
3500,2.2864611223340034,0.10829503327608103,meanabs_nocorr,1258359901,3500,2.1781660890579224,2.2864611223340034
4000,2.022128462791443,0.08666441679000858,meanabs_nocorr,1258359901,4000,1.9354640460014343,2.022128462791443
4500,1.8517305068671703,0.1770246748626232,meanabs_nocorr,1258359901,4500,1.6747058320045471,1.8517305068671703
5000,1.6594829633831978,0.18829647094011315,meanabs_nocorr,1258359901,5000,1.4711864924430846,1.6594829633831978
