best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.497130550444126,0.1268062105774881,rms,1431649702,500,2.370324339866638,2.497130550444126
1000,2.392732098698616,0.04817883074283591,rms,1431649702,1000,2.34455326795578,2.392732098698616
1500,2.097725313156843,-0.012754596024751486,rms,1431649702,1500,2.1104799091815947,2.097725313156843
2000,1.647054836153984,0.18736796319484705,rms,1431649702,2000,1.459686872959137,1.647054836153984
2500,1.4179614074528217,0.1755530352890491,rms,1431649702,2500,1.2424083721637726,1.4179614074528217
2500,1.4179614074528217,0.31225517064332964,rms,1431649702,3000,1.1280045020580292,1.4402596727013588
2500,1.4179614074528217,0.4158398170769215,rms,1431649702,3500,1.0490084218978881,1.4648482389748096
2500,1.4179614074528217,0.4745960442721844,rms,1431649702,4000,0.957606708407402,1.4322027526795864
2500,1.4179614074528217,0.5684959369897843,rms,1431649702,4500,0.8718701523542404,1.4403660893440247
2500,1.4179614074528217,0.7697275097668171,rms,1431649702,5000,0.7681610357761383,1.5378885455429554
