best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4733018055558205,0.10378726392984383,meanabs,273318888,500,2.3695145416259766,2.4733018055558205
1000,2.4221216663718224,0.0754610309004784,meanabs,273318888,1000,2.346660635471344,2.4221216663718224
1500,2.3663184195756912,0.07894341051578513,meanabs,273318888,1500,2.287375009059906,2.3663184195756912
2000,1.8008070476353168,0.10596155837178234,meanabs,273318888,2000,1.6948454892635345,1.8008070476353168
2500,1.5475470013916492,0.17685734584927548,meanabs,273318888,2500,1.3706896555423738,1.5475470013916492
3000,1.4952181987464428,0.29014265701174735,meanabs,273318888,3000,1.2050755417346954,1.4952181987464428
3500,1.4124894812703133,0.2931848040223122,meanabs,273318888,3500,1.119304677248001,1.4124894812703133
3500,1.4124894812703133,0.40412792205810555,meanabs,273318888,4000,1.0442824846506118,1.4484104067087173
3500,1.4124894812703133,0.4512736997008324,meanabs,273318888,4500,0.9780581766366958,1.4293318763375282
3500,1.4124894812703133,0.6246079985797405,meanabs,273318888,5000,0.9013872522115708,1.5259952507913113
