best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4384353682398796,0.06918009728193297,rms,1301334618,500,2.3692552709579466,2.4384353682398796
500,2.4384353682398796,0.10451987147331243,rms,1301334618,1000,2.357760193347931,2.4622800648212433
1500,2.3458604514598846,0.07231693148612983,rms,1301334618,1500,2.273543519973755,2.3458604514598846
2000,1.6660813204944134,0.09313633367419238,rms,1301334618,2000,1.572944986820221,1.6660813204944134
2500,1.4967770390212536,0.22419503614306446,rms,1301334618,2500,1.2725820028781891,1.4967770390212536
3000,1.430197175592184,0.26609136089682583,rms,1301334618,3000,1.1641058146953582,1.430197175592184
3000,1.430197175592184,0.3982715201377869,rms,1301334618,3500,1.0568260210752487,1.4550975412130356
4000,1.4151242263615131,0.4419146503508091,rms,1301334618,4000,0.973209576010704,1.4151242263615131
4500,1.407834205776453,0.5153465373814106,rms,1301334618,4500,0.8924876683950425,1.407834205776453
4500,1.407834205776453,0.7346881057322026,rms,1301334618,5000,0.7891579580307007,1.5238460637629032
