best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4413770139217377,0.07530031085014333,meanabs,676750256,500,2.3660767030715943,2.4413770139217377
1000,2.437494657933712,0.08662127822637578,meanabs,676750256,1000,2.3508733797073362,2.437494657933712
1500,2.35681539028883,0.06139994829893114,meanabs,676750256,1500,2.2954154419898987,2.35681539028883
2000,1.7495191842317581,0.10550114333629601,meanabs,676750256,2000,1.644018040895462,1.7495191842317581
2500,1.4941950030624866,0.16901896193623545,meanabs,676750256,2500,1.3251760411262512,1.4941950030624866
3000,1.4640116170048714,0.27805730372667314,meanabs,676750256,3000,1.1859543132781982,1.4640116170048714
3500,1.424549389630556,0.3373163045942784,meanabs,676750256,3500,1.0872330850362777,1.424549389630556
3500,1.424549389630556,0.4504721492528916,meanabs,676750256,4000,1.0133726865053176,1.4638448357582092
3500,1.424549389630556,0.534584347307682,meanabs,676750256,4500,0.9353719985485077,1.4699563458561897
3500,1.424549389630556,0.6920259000360965,meanabs,676750256,5000,0.8432867115736008,1.5353126116096973
