best_step_so_far,best_val_so_far,generalization_gap,norm,seed,step,train_window_loss,val_loss
500,2.4319308698177338,0.06881845355033889,rms,405379411,500,2.363112416267395,2.4319308698177338
1000,2.422090657055378,0.07363029032945612,rms,405379411,1000,2.348460366725922,2.422090657055378
1500,2.371320515871048,0.08235123515129095,rms,405379411,1500,2.288969280719757,2.371320515871048
2000,1.6721280626952648,0.06450574919581409,rms,405379411,2000,1.6076223134994507,1.6721280626952648
2500,1.4605390317738056,0.1629208286106587,rms,405379411,2500,1.297618203163147,1.4605390317738056
3000,1.4333478324115276,0.26780654713511476,rms,405379411,3000,1.1655412852764129,1.4333478324115276
3500,1.4059713669121265,0.3343542201817036,rms,405379411,3500,1.071617146730423,1.4059713669121265
4000,1.3686759620904922,0.3811950081586838,rms,405379411,4000,0.9874809539318085,1.3686759620904922
4000,1.3686759620904922,0.5062332785129547,rms,405379411,4500,0.9117878341674804,1.4180211126804352
4000,1.3686759620904922,0.6972980351746082,rms,405379411,5000,0.8117337262630463,1.5090317614376545
